Words,Word Frequency,Part of Speech
Quran,226,NNP
The,107,DT
Muhammad,51,NNP
God,45,NNP
Quranic,40,NNP
verses,37,NNS
Arabic,36,NNP
meaning,36,VBG
text,36,NN
also,32,RB
Muslims,31,NNP
al,29,RP
In,29,IN
first,24,RB
one,24,CD
Islamic,21,NNP
century,21,NN
written,20,VBN
early,20,JJ
verse,19,NN
Note,18,NNP
It,18,PRP
words,18,NNS
revelation,17,NN
According,17,VBG
interpretation,17,NN
revealed,16,VBD
known,16,VBN
recitation,15,NN
11,15,CD
Muslim,15,NNP
language,15,NN
ibn,15,JJ
Islam,14,NNP
according,14,VBG
scholars,14,NNS
n,13,JJ
may,13,MD
used,13,VBN
form,13,JJ
believe,12,VBP
work,12,NN
word,12,NN
many,12,JJ
He,12,PRP
style,12,NN
translation,12,NN
rah,11,JJ
book,11,NN
number,11,NN
earlier,11,JJR
like,11,IN
view,11,NN
57,11,CD
letters,11,NNS
esoteric,11,JJ
Moses,11,NNP
There,10,EX
meanings,10,NNS
use,10,NN
two,10,CD
sent,10,NN
manuscripts,10,NNS
books,10,NNS
time,10,NN
A,10,NNP
This,10,DT
seven,10,CD
translations,10,NNS
literature,9,NN
Gospel,9,NNP
sometimes,9,RB
often,9,RB
recited,9,VBD
called,9,VBD
refers,9,NNS
mentioned,9,JJ
Abu,9,NNP
made,9,VBN
script,9,NN
message,9,NN
human,9,JJ
see,9,NN
Persian,9,JJ
printed,9,VBD
death,8,NN
divine,8,NN
including,8,VBG
said,8,VBD
tradition,8,NN
revelations,8,NNS
readings,8,NNS
order,8,NN
reading,8,VBG
related,8,JJ
suras,8,JJ
well,8,RB
manuscript,8,NN
copies,8,NNS
53,8,CD
commentaries,8,NNS
needed,8,VBD
published,8,VBN
literary,8,JJ
English,8,NNP
ta,8,NN
wil,8,NN
printing,8,NN
2,7,CD
religious,7,JJ
classical,7,JJ
proof,7,NN
however,7,RB
tafsir,7,JJ
various,7,JJ
Other,7,JJ
writing,7,VBG
41,7,CD
day,7,NN
would,7,MD
Some,7,DT
later,7,RB
Ibn,7,NNP
University,7,NNP
content,7,NN
scientific,7,JJ
knowledge,7,VBD
centuries,7,NNS
Sufi,7,NNP
belief,7,NN
another,7,DT
works,7,NNS
concerned,7,VBN
Ottoman,7,NNP
commentary,7,JJ
plural,6,JJ
subject,6,JJ
years,6,NNS
several,6,JJ
parts,6,NNS
Uthman,6,NNP
standard,6,JJ
events,6,NNS
historical,6,JJ
believed,6,VBD
complete,6,JJ
read,6,VBD
become,6,JJ
term,6,NN
individual,6,JJ
certain,6,JJ
b,6,NN
place,6,NN
sources,6,NNS
clear,6,JJ
rather,6,RB
Al,6,NNP
texts,6,JJ
Bakr,6,NNP
Zayd,6,NNP
must,6,MD
doctrine,6,NN
modern,6,JJ
science,6,NN
Lord,6,NNP
appear,6,JJ
existence,6,NN
without,6,IN
upon,6,IN
point,6,NN
Salam,6,NNP
non,6,RB
edition,6,NN
Qur,5,NNP
pronunciation,5,NN
114,5,CD
period,5,NN
beginning,5,VBG
40,5,CD
refer,5,NN
write,5,NN
companions,5,NNS
compiled,5,VBN
version,5,NN
considered,5,VBN
variant,5,JJ
differences,5,NNS
significance,5,NN
30,5,CD
prayers,5,NNS
particular,5,JJ
exegesis,5,VBP
origin,5,JJ
referred,5,VBD
taken,5,VBN
As,5,IN
since,5,IN
Shia,5,NNP
However,5,RB
I,5,PRP
even,5,RB
scholar,5,JJ
man,5,NN
whether,5,IN
indicate,5,JJ
18th,5,CD
volume,5,NN
could,5,MD
produced,5,JJ
world,5,NN
great,5,JJ
page,5,NN
mosque,5,NN
contain,5,JJ
make,5,VBP
common,5,JJ
textual,5,JJ
means,5,NNS
prophetic,5,JJ
different,5,JJ
ninth,5,JJ
aspects,5,NNS
study,5,VBP
shall,5,MD
highly,5,RB
name,5,VBP
natural,5,JJ
people,5,NNS
e,5,VBP
dealing,5,VBG
afterlife,5,JJ
prose,5,JJ
Abdullah,5,NNP
mountain,5,NN
Tabatabaei,5,NNP
Rumi,5,NNP
languages,5,NNS
chapters,4,NNS
length,4,NN
final,4,JJ
632,4,CD
20,4,CD
prophethood,4,NN
Torah,4,NNP
times,4,NNS
names,4,RB
literal,4,JJ
narratives,4,NNS
scriptures,4,VBZ
describes,4,NNS
guidance,4,NN
traditions,4,NNS
month,4,NN
qur,4,NN
Syriac,4,NNP
scripture,4,VBP
consider,4,VBP
majority,4,NN
lifetime,4,VBD
seen,4,VBN
passages,4,NNS
example,4,NN
terms,4,NNS
sign,4,NN
large,4,JJ
l,4,NN
guide,4,NN
received,4,VBN
hadith,4,JJ
Medina,4,NNP
ordered,4,VBD
daily,4,JJ
group,4,NN
numerous,4,JJ
prayer,4,NN
among,4,IN
studies,4,NNS
states,4,NNS
evidence,4,NN
remains,4,VBZ
general,4,JJ
For,4,IN
hand,4,NN
men,4,NNS
Umar,4,NNP
Affan,4,NNP
copy,4,NN
began,4,VBD
within,4,IN
present,4,JJ
transmitted,4,VBD
scholarly,4,RB
8th,4,JJ
earliest,4,JJS
humanity,4,NN
faith,4,NN
never,4,RB
always,4,RB
explain,4,VBP
source,4,NN
truth,4,NN
frequently,4,RB
81,4,CD
We,4,PRP
five,4,CD
produce,4,VBP
inner,4,JJ
consists,4,NNS
You,4,PRP
art,4,NN
Meccan,4,NNP
thus,4,RB
juz,4,NN
named,4,VBN
Tafsir,4,NNP
g,4,$
fact,4,NN
universe,4,JJ
last,4,JJ
end,4,NN
life,4,NN
102,4,CD
self,4,PRP
Say,4,NNP
Ismail,4,NNP
citation,4,NN
poetry,4,NN
found,4,VBD
evident,4,NN
explanation,4,NN
apparent,4,JJ
depth,4,NN
Bible,4,JJ
long,4,RB
vowels,4,NNS
reciters,4,NNS
type,4,VBP
scripts,4,VBZ
Jesus,4,NNP
Koran,3,NNP
3,3,CD
central,3,JJ
widely,3,RB
12,3,CD
13,3,CD
4,3,CD
16,3,CD
surahs,3,JJ
17,3,CD
18,3,CD
23,3,CD
22,3,CD
important,3,JJ
70,3,CD
simply,3,RB
inspired,3,JJ
know,3,VBP
recorded,3,VBN
memorized,3,VBN
26,3,CD
Uthmanic,3,NNP
accounts,3,NNS
interpretations,3,NNS
moral,3,JJ
event,3,NN
29,3,CD
law,3,NN
7,3,CD
rely,3,RB
Western,3,JJ
derived,3,VBN
collect,3,VBP
35,3,CD
throughout,3,IN
Each,3,DT
possesses,3,VBZ
contexts,3,NNS
include,3,VBP
kit,3,NN
dhikr,3,NN
remembrance,3,NN
part,3,NN
Another,3,DT
era,3,NN
Thus,3,NNP
became,3,VBD
spoken,3,VBN
date,3,NN
making,3,VBG
manner,3,NN
exist,3,VBP
42,3,CD
Prophet,3,NNP
mighty,3,NN
came,3,VBD
Welch,3,NNP
ancient,3,JJ
traditionally,3,RB
interpreted,3,JJ
second,3,JJ
studied,3,VBN
sacred,3,VBD
H,3,NNP
roughly,3,RB
heart,3,NN
preserved,3,VB
material,3,JJ
parchments,3,NNS
50,3,CD
After,3,IN
third,3,JJ
beyond,3,IN
accepted,3,VBD
original,3,JJ
Ali,3,NNP
Abi,3,NNP
standardized,3,VBN
none,3,NN
scattered,3,JJ
development,3,NN
academic,3,JJ
record,3,NN
creation,3,NN
Although,3,IN
still,3,RB
rarely,3,RB
issue,3,NN
although,3,IN
pre,3,NNS
dating,3,VBG
Puin,3,NNP
fragments,3,NNS
noted,3,VBD
styles,3,NNS
orthography,3,IN
back,3,RB
dots,3,NNS
Professor,3,NNP
occasions,3,NNS
comes,3,VBZ
tanzil,3,JJ
come,3,VBP
says,3,VBZ
speak,3,JJ
15,3,CD
way,3,NN
created,3,VBD
eternal,3,JJ
granted,3,VBD
From,3,IN
discussed,3,VBN
argue,3,VBP
state,3,NN
sura,3,NN
alone,3,VBP
seek,3,JJ
right,3,JJ
calligraphy,3,VBP
Brooklyn,3,NNP
Museum,3,NNP
India,3,NNP
arrangement,3,NN
depending,3,VBG
S,3,NNP
except,3,IN
originally,3,RB
approximately,3,RB
equal,3,JJ
ten,3,JJ
beliefs,3,NNS
prophets,3,VBZ
legal,3,JJ
charity,3,NN
disagreements,3,NNS
explained,3,JJ
create,3,NN
uses,3,VBZ
look,3,NN
reference,3,NN
expression,3,NN
directly,3,RB
instance,3,NN
Prophets,3,NNS
stated,3,VBN
matters,3,NNS
practices,3,NNS
attention,3,NN
require,3,VBP
primary,3,NN
developed,3,VBD
One,3,CD
nothing,3,NN
set,3,VBN
Sells,3,NNP
feature,3,NN
allusions,3,NNS
Qushayri,3,NNP
143,3,CD
realities,3,NNS
truths,3,NNS
popular,3,JJ
But,3,CC
widespread,3,JJ
main,3,JJ
136,3,CD
far,3,RB
12th,3,CD
Sulami,3,JJ
11th,3,CD
These,3,DT
author,3,NN
wrote,3,VBD
influential,3,NN
goes,3,VBZ
translated,3,VBD
European,3,JJ
10th,3,CD
translators,3,NNS
proper,3,IN
areas,3,NNS
Kufa,3,NNP
Cairo,3,NNP
new,3,JJ
took,3,VBD
Infancy,3,NNP
r,2,NN
1,2,CD
romanized,2,VBD
literally,2,RB
Allah,2,NNP
regarded,2,VBD
finest,2,JJS
5,2,CD
New,2,NNP
Testament,2,NNP
subdivided,2,VBD
yah,2,PRP
prophet,2,NN
Gabriel,2,NNP
CE,2,NNP
year,2,NN
regard,2,NN
miracle,2,NN
series,2,NN
Adam,2,NNP
thought,2,NN
divinely,2,RB
24,2,CD
scribes,2,NNS
25,2,CD
Caliph,2,NNP
established,2,VBD
codex,2,NN
generally,2,RB
today,2,NN
mostly,2,RB
minor,2,JJ
major,2,JJ
recounted,2,VBD
others,2,NNS
27,2,CD
mankind,2,NN
185,2,CD
specific,2,JJ
sequence,2,NN
explanations,2,NNS
provide,2,VBP
basis,2,NN
sharia,2,NN
6,2,CD
actions,2,NNS
During,2,IN
entire,2,JJ
special,2,JJ
kind,2,NN
reserved,2,VBD
tajwid,2,JJ
Ramadan,2,NNP
whole,2,JJ
Contents,2,NNPS
appears,2,VBZ
qara,2,NN
33,2,CD
hold,2,VBP
An,2,DT
act,2,NN
passage,2,NN
recite,2,JJ
34,2,CD
Its,2,PRP$
context,2,NN
So,2,RB
silent,2,JJ
36,2,CD
employed,2,VBN
distinct,2,JJ
Such,2,JJ
units,2,NNS
tanz,2,NN
38,2,CD
wisdom,2,NN
referring,2,VBG
something,2,NN
Book,2,NNP
though,2,IN
Gospels,2,NNP
relates,2,VBZ
history,2,NN
independent,2,JJ
community,2,NN
laws,2,NNS
Battle,2,NNP
initially,2,RB
wide,2,JJ
palm,2,NN
Most,2,JJS
Sunni,2,NNP
relating,2,VBG
narrates,2,VBZ
describing,2,VBG
reported,2,VBD
Inspiration,2,NNP
9,2,CD
vision,2,NN
power,2,NN
nearer,2,VBP
around,2,RB
convincing,2,VBG
critics,2,NNS
experiences,2,NNS
similar,2,JJ
Arabia,2,NNP
claim,2,NN
ummi,2,JJ
Medieval,2,NNP
Tabari,2,NNP
maintained,2,VBD
illiteracy,2,NN
Din,2,NNP
possibly,2,RB
suspected,2,VBN
Watt,2,NNP
10,2,CD
corresponds,2,VBZ
delivering,2,VBG
Following,2,NNP
knew,2,VBD
caliph,2,NN
subsequently,2,RB
person,2,NN
Apostle,2,NNP
importantly,2,RB
collected,2,VBD
remained,2,VBD
Hafsa,2,NNP
bint,2,NN
650,2,CD
51,2,CD
North,2,NNP
Africa,2,NNP
preserve,2,VBP
versions,2,NNS
Talib,2,NNP
gathered,2,VBN
chronological,2,JJ
Despite,2,IN
existed,2,VBN
Mas,2,NNP
Ka,2,NNP
support,2,VBP
variants,2,NNS
Chicago,2,NNP
consonantal,2,NN
probably,2,RB
transmission,2,NN
authoritative,2,NN
extant,2,JJ
seem,2,VBP
60,2,CD
critical,2,JJ
based,2,VBN
city,2,NN
Sana,2,NNP
discovered,2,VBD
palimpsests,2,NNS
washed,2,VBD
parchment,2,NN
practice,2,NN
due,2,JJ
scriptio,2,JJ
top,2,JJ
using,2,VBG
radiocarbon,2,NN
dated,2,VBD
99,2,CD
probability,2,NN
German,2,JJ
His,2,PRP$
suggested,2,VBD
opposed,2,VBD
67,2,CD
Birmingham,2,NNP
tests,2,NNS
95,2,CD
Hijazi,2,NNP
68,2,CD
range,2,NN
possible,2,JJ
dates,2,NNS
oldest,2,JJS
Saudi,2,NNP
doubt,2,NN
originated,2,VBD
Joseph,2,NNP
Lumbard,2,NNP
origins,2,VBZ
light,2,JJ
empirical,2,JJ
discoveries,2,NNS
holy,2,NN
72,2,CD
whose,2,WP$
moves,2,VBZ
physical,2,JJ
birth,2,JJ
marriage,2,NN
75,2,CD
77,2,CD
78,2,CD
messenger,2,JJR
79,2,CD
understand,2,VBP
speech,2,VBD
Indeed,2,RB
83,2,CD
religion,2,NN
Shias,2,NNP
uncreated,2,JJ
85,2,CD
90,2,CD
philosophers,2,NNS
question,2,VBP
need,2,NN
Inimitability,2,NNP
inimitable,2,JJ
Day,2,NNP
thereby,2,RB
concept,2,NN
If,2,IN
together,2,RB
appeared,2,VBD
linguistic,2,JJ
contains,2,NNS
ideas,2,NNS
worship,2,JJ
repeated,2,VBD
us,2,PRP
path,2,NN
anger,2,NN
sections,2,NNS
56,2,CD
perform,2,NN
water,2,NN
universal,2,JJ
buried,2,VBN
disciplines,2,NNS
philosophy,2,NN
arts,2,NNS
decorated,2,VBN
lines,2,NNS
start,2,VBP
pages,2,NNS
Kufic,2,NNP
Chapters,2,NNP
classified,2,VBD
Medinan,2,NNP
quality,2,NN
starts,2,NNS
Bismillah,2,NNP
phrase,2,NN
opening,2,VBG
Solomon,2,NNP
differs,2,NNS
14,2,CD
divided,2,VBD
z,2,NNP
structure,2,NN
f,2,NN
respective,2,VBP
Y,2,NNP
qualities,2,NNS
unique,2,JJ
basic,2,JJ
resurrection,2,NN
subjects,2,NNS
exhortations,2,NNS
wrong,2,JJ
Verses,2,VBZ
phenomena,2,NNS
98,2,CD
narrated,2,VBN
places,2,NNS
theme,2,NN
living,2,JJ
heavens,2,NNS
earth,2,VBP
etc,2,FW
All,2,DT
Therefore,2,RB
harmony,2,NN
judgment,2,NN
101,2,CD
Sura,2,NNP
earthquake,2,NN
address,2,JJ
O,2,NNP
People,2,NNP
assert,2,JJ
soul,2,NN
dependent,2,NN
wills,2,VBZ
communicated,2,VBD
signs,2,NNS
messengers,2,NNS
concepts,2,NNS
fundamental,2,JJ
aspect,2,NN
104,2,CD
profound,2,IN
ultimate,2,JJ
especially,2,RB
public,2,NN
prohibited,2,VBN
formal,2,JJ
purification,2,NN
sciences,2,NNS
Guessoum,2,NNP
claims,2,NNS
draws,2,JJ
And,2,CC
follow,2,JJ
asks,2,NNS
111,2,CD
strong,2,JJ
argument,2,NN
citing,2,VBG
174,2,CD
old,2,JJ
conception,2,NN
rational,2,JJ
nature,2,NN
Biruni,2,NNP
inspiration,2,NN
additional,2,JJ
observation,2,NN
experimental,2,JJ
112,2,CD
held,2,VBN
introduced,2,VBN
influence,2,NN
physics,2,NNS
gives,2,VBZ
Literary,2,NNP
conveyed,2,VBD
