Words,Word Frequency,Part of Speech
starbucks,313,NNS
corporation,7,NN
is,42,VBZ
an,27,DT
american,7,JJ
multinational,1,NN
chain,13,NN
of,233,IN
coffeehouses,1,NNS
and,257,CC
roastery,3,NN
reserves,2,NNS
headquartered,2,VBN
in,434,IN
seattle,22,JJ
washington,9,NN
as,59,IN
the,549,DT
world,13,NN
s,95,NN
largest,12,JJS
coffeehouse,3,NN
seen,1,VBN
to,231,TO
be,28,VB
main,6,JJ
representation,1,NN
united,10,JJ
states,10,NNS
second,7,JJ
wave,3,VBP
coffee,117,JJ
culture,3,NN
5,12,CD
6,8,CD
since,16,IN
2000s,1,CD
third,7,JJ
makers,2,NNS
have,25,VBP
targeted,2,VBN
quality,11,NN
minded,1,VBD
drinkers,2,NNS
with,85,IN
hand,2,NN
made,7,VBN
based,11,VBN
on,68,IN
lighter,1,JJR
roasts,2,NNS
while,6,IN
nowadays,1,JJ
uses,2,NNS
automatic,1,JJ
espresso,7,VBP
machines,5,NNS
for,79,IN
efficiency,2,NN
early,7,JJ
2020,8,CD
company,65,NN
operates,4,VBZ
over,20,IN
30,7,CD
000,11,CD
locations,32,NNS
worldwide,4,RB
more,13,JJR
than,5,IN
70,3,CD
countries,4,NNS
serve,4,VBP
hot,3,JJ
cold,7,JJ
drinks,11,NNS
whole,3,JJ
bean,4,JJ
microground,1,NN
instant,5,JJ
known,3,VBN
via,8,IN
caffe,1,NN
latte,4,NN
full,5,JJ
loose,1,JJ
leaf,1,NNS
teas,2,IN
including,6,VBG
teavana,6,JJ
tea,6,NN
products,11,NNS
evolution,2,VBP
fresh,4,JJ
juices,1,NNS
frappuccino,2,NN
beverages,5,NNS
la,2,VBP
boulange,1,NN
pastries,3,NNS
snacks,2,VBZ
items,2,NNS
such,10,JJ
chips,1,NNS
crackers,1,NNS
some,7,DT
offerings,3,VBP
their,29,PRP$
annual,2,JJ
fall,3,NN
launch,2,NN
pumpkin,1,JJ
spice,1,NN
are,24,VBP
seasonal,1,JJ
or,20,CC
specific,1,JJ
locality,1,NN
store,63,NN
center,5,NN
was,77,VBD
founded,1,VBN
1971,3,CD
by,65,IN
jerry,3,NN
baldwin,3,NN
zev,2,NNP
siegl,2,NN
gordon,2,NN
bowker,5,NN
at,53,IN
pike,2,JJ
place,2,NN
market,18,NN
during,10,IN
1980s,2,CD
they,20,PRP
sold,13,VBD
howard,7,NN
schultz,14,NN
who,13,WP
after,21,IN
