Words,Word Frequency,Part of Speech
apple,105,NN
apples,87,VBZ
the,37,DT
cultivars,35,VBZ
fruit,30,NN
also,23,RB
trees,20,NNS
used,16,VBN
tree,15,JJ
century,14,NN
malus,13,NN
many,12,JJ
may,12,MD
seeds,12,NNS
europe,11,VBP
5,11,CD
wild,10,JJ
m,10,VBP
often,10,RB
sieversii,9,NN
found,9,VBN
generally,9,RB
rootstocks,9,NNS
production,9,NN
organic,9,JJ
in,9,IN
golden,9,JJ
a,9,DT
north,8,RB
size,8,NN
raw,8,JJ
disease,8,NN
3,8,CD
called,8,VBN
states,8,NNS
storage,8,NN
year,8,NN
pests,8,NNS
cultivated,7,VBD
asia,7,NN
greek,7,JJ
characteristics,7,NNS
use,7,VBP
cider,7,NN
genome,7,NN
this,7,DT
4,7,CD
2,7,CD
some,7,DT
juice,7,JJ
though,7,IN
united,7,JJ
high,7,JJ
mythology,7,NN
davidson,7,NN
cultivar,7,VBP
produced,6,VBD
grown,6,JJ
including,6,VBG
known,6,VBN
number,6,NN
research,6,NN
old,6,JJ
nuts,6,VBP
1,6,CD
produce,6,VBP
skin,6,NN
genes,6,NNS
delicious,6,JJ
fruits,6,VBZ
modern,6,JJ
form,6,NN
important,6,JJ
food,6,NN
world,6,NN
goddess,6,NN
life,6,NN
one,6,CD
three,6,CD
popular,6,JJ
day,6,NN
include,6,VBP
diseases,6,NNS
browning,6,VBG
allergy,6,JJ
82,6,CD
years,5,NNS
america,5,JJ
european,5,JJ
norse,5,JJ
large,5,JJ
grafting,5,VBG
there,5,RB
7,5,CD
cooking,5,VBG
controlled,5,VBD
part,5,NN
breeding,5,NN
word,5,NN
germanic,5,JJ
cultivation,5,NN
fresh,5,JJ
significant,5,JJ
57,5,CD
plant,5,NN
human,5,JJ
new,5,JJ
origin,5,NN
domesticated,5,VBD
20,5,CD
winter,5,NN
stored,5,JJ
early,5,RB
i,5,NN
consumption,5,NN
aphrodite,5,JJ
even,5,RB
yield,5,NN
national,5,JJ
collection,5,NN
commercially,5,RB
protein,5,NN
cooked,5,VBD
reactions,5,NNS
an,4,DT
species,4,NNS
central,4,JJ
still,4,RB
seed,4,NN
different,4,JJ
bred,4,VBD
various,4,JJ
eating,4,VBG
problems,4,NNS
non,4,NN
china,4,VBP
e,4,NN
l,4,NN
late,4,JJ
6,4,CD
30,4,CD
rootstock,4,JJ
long,4,JJ
pink,4,VBP
first,4,RB
develop,4,VB
commercial,4,JJ
red,4,VBD
growing,4,VBG
mountains,4,NNS
university,4,NN
it,4,PRP
genetic,4,JJ
dessert,4,JJ
east,4,JJ
introduced,4,VBD
became,4,VBD
common,4,JJ
low,4,JJ
england,4,VBP
symbol,4,NN
sometimes,4,RB
northern,4,JJ
small,4,JJ
must,4,MD
forbidden,4,JJ
love,4,VB
take,4,NN
adam,4,VBD
38,4,CD
times,4,NNS
doctor,4,NN
health,4,NN
commonly,4,RB
flavor,4,NN
sweet,4,JJ
dwarf,4,NN
bear,4,NN
orchards,4,NNS
table,4,JJ
baked,4,VBD
frozen,4,JJ
birch,4,NN
widely,3,RB
ancestor,3,NN
today,3,NN
