Words,Word Frequency,Part of Speech
a,127,DT
telephone,77,NN
is,30,VBZ
telecommunications,1,NNS
device,10,NN
that,26,IN
permits,1,VBZ
two,2,CD
or,24,CC
more,6,JJR
users,3,NNS
to,107,TO
conduct,1,VB
conversation,4,NN
when,13,WRB
they,4,PRP
are,14,VBP
too,2,RB
far,6,RB
apart,1,RB
be,14,VB
heard,1,VBN
directly,3,RB
converts,3,NNS
sound,12,VBD
typically,3,RB
and,94,CC
most,7,JJS
efficiently,1,RB
the,348,DT
human,2,JJ
voice,15,NN
into,12,IN
electronic,2,JJ
signals,8,NNS
transmitted,3,VBD
via,4,IN
cables,1,NNS
other,22,JJ
communication,4,NN
channels,1,NNS
another,4,DT
which,28,WDT
reproduces,2,VBZ
receiving,2,VBG
user,7,JJ
term,8,NN
derived,2,VBN
from,15,IN
greek,2,JJ
t,3,NN
le,2,NN
ph,2,NN
n,2,IN
together,3,RB
meaning,3,VBG
distant,3,JJ
common,4,JJ
short,1,JJ
form,1,NN
of,70,IN
phone,11,NN
has,9,VBZ
been,2,VBN
in,86,IN
use,10,NN
since,3,IN
early,9,RB
20th,8,JJ
century,9,NN
1876,3,CD
alexander,3,NN
graham,3,NN
bell,21,NN
was,28,VBD
first,8,RB
granted,1,VBN
united,5,JJ
states,3,NNS
patent,8,NN
for,35,IN
produced,2,VBN
clearly,1,RB
intelligible,1,JJ
replication,1,NN
this,14,DT
instrument,3,NN
further,2,RB
developed,4,VBN
by,21,IN
many,5,JJ
others,2,NNS
became,3,VBD
rapidly,2,RB
indispensable,1,JJ
business,1,NN
government,1,NN
households,1,NNS
essential,1,JJ
elements,1,NNS
microphone,15,VBP
transmitter,18,NN
speak,2,VBP
an,18,DT
earphone,1,NN
receiver,15,NN
location,3,NN
1,3,CD
addition,1,NN
telephones,29,NNS
contain,1,VBP
ringer,12,JJR
announce,2,NN
incoming,10,VBG
call,12,JJ
dial,9,JJ
keypad,1,NN
enter,1,NN
number,6,NN
initiating,2,VBG
usually,3,RB
built,1,VBN
handset,12,NN
held,2,VBD
up,8,RP
ear,1,JJ
mouth,1,NN
during,2,IN
may,8,MD
located,4,VBN
either,4,RB
on,22,IN
base,5,NN
unit,2,NN
connected,11,VBN
waves,3,NNS
electrical,6,JJ
sent,1,VBD
through,16,IN
network,8,NN
audible,2,JJ
sometimes,2,RB
loudspeaker,1,NN
duplex,1,JJ
devices,4,NNS
permit,1,NN
transmission,6,NN
both,5,DT
directions,1,NNS
simultaneously,2,RB
were,22,VBD
each,9,DT
one,8,CD
customer,5,NN
s,18,NN
office,5,NN
residence,1,NN
being,2,VBG
